BEHIPA_ID;BEZEICHNUNG;BEMERKUNG;ANZAHL;POLIZEI;STANDORT;PLZ;ORTSTEIL;GPS_LAT;GPS_LON;LETZTE_AENDERUNG;GPS_KOORDINATEN;KATEGORIE;LINK
2090;1 Behindertenparkplatz;Durchgehend;1;51;Rudolfstraße (U-Bahnhof Warschauer Str.);10245;Friedrichshain;52.50521342;13.44997243;18.09.2020;52.50521342, 13.44997243;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2091;1 Behindertenparkplatz;Durchgehend;1;52;Ruhlsdorfer Straße 2;10963;Kreuzberg;52.49736411;13.38784492;18.09.2020;52.49736411, 13.38784492;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2092;1 Behindertenparkplatz;Mo-Fr 8-16h;1;51;Samariterstraße 38;10247;Friedrichshain;52.51546237;13.46459238;18.09.2020;52.51546237, 13.46459238;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2093;1 Behindertenparkplatz;(täglich) 9-23h;1;52;Schleiermacher Straße 24 a;10961;Kreuzberg;52.48962588;13.39751348;18.09.2020;52.48962588, 13.39751348;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2094;1 Behindertenparkplatz;Mo-Fr 8-16h;1;51;Schreinerstraße 7;10247;Friedrichshain;52.51756204;13.46400275;18.09.2020;52.51756204, 13.46400275;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2095;1 Behindertenparkplatz;Mo-Fr 6-18h;1;52;Schwiebusser Straße 5;10965;Kreuzberg;52.48588864;13.39283369;18.09.2020;52.48588864, 13.39283369;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2096;1 Behindertenparkplatz;Mo-Fr 8-18h;1;53;Skalitzer Straße 35;10999;Kreuzberg;52.49895717;13.42560287;18.09.2020;52.49895717, 13.42560287;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2097;1 Behindertenparkplatz;Durchgehend;1;53;Skalitzer Straße 36;10999;Kreuzberg;52.49876696;13.42619385;18.09.2020;52.49876696, 13.42619385;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2098;2 Behindertenparkplätze;(täglich) 18-23h;2;53;Stresemannstraße 29;10963;Kreuzberg;52.50004380;13.38767686;18.09.2020;52.50004380, 13.38767686;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2099;4 Behindertenparkplätze;Mi 18-21h, So 9-12h und 18-21h;4;52;Südstern;10961;Kreuzberg;52.48928286;13.40568497;18.09.2020;52.48928286, 13.40568497;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2100;1 Behindertenparkplatz;Mo-Fr 8-21h;1;52;Urbanstraße 100;10967;Kreuzberg;52.48937430;13.42158624;18.09.2020;52.48937430, 13.42158624;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
